Nom,Latitude,Longitude,Annee,Al (mg/L),Ag (mg/L),As (mg/L),Ba (mg/L),Cd (mg/L),Cr (mg/L),Co (mg/L),Cu (mg/L),Sn (mg/L),Fe (mg/L),Mn (mg/L),Hg (mg/L),Ni (mg/L),Pb (mg/L),Se (mg/L),Zn (mg/L)
S-01,46.0519,-73.1625,2016,3430,0.5,4,60,0.9,10,10,20,5,5990,402,0.051,9,10,0.8,75
S-02,46.0903,-73.0724,2016,1050,0.5,4,46,0.8,10,10,20,5,1790,281,0.051,5,10,0.8,71
S-03,46.0838,-73.0616,2016,920,0.5,4,36,0.5,10,10,20,5,1590,159,0.051,5,10,0.8,59
S-04,46.1144,-73.0386,2016,2040,0.5,4,50,0.4,10,10,20,5,3460,455,0.051,5,10,0.8,63
S-05,46.1061,-73.0343,2016,6330,0.5,4,80,0.6,20,10,21,5,11800,453,0.054,14,10,0.8,81
S-06,46.1108,-72.9951,2016,6130,0.5,4,77,0.7,19,10,20,5,10700,774,0.056,14,10,0.8,89
S-07,46.1271,-72.9905,2016,4960,0.5,4,64,0.8,16,10,20,5,8940,446,0.052,13,10,0.8,84
S-08,46.1458,-72.9797,2016,1420,0.5,4,53,0.3,10,10,20,5,2980,1410,0.051,5,10,0.8,53
S-09,46.123,-73.0759,2016,2810,0.5,4,55,0.8,10,10,20,5,5170,474,0.051,7,10,0.8,80
S-10,46.1359,-73.0465,2016,1900,0.5,4,48,0.9,10,10,20,5,3180,550,0.051,6,10,0.8,66
